"STATIONNAME","STATIONARRONDISSEMENT","STATIONLATITUDE","STATIONLONGITUDE"
"St-Urbain / René-Lévesque","Ville-Marie",45.507838,-73.563136
"Roy / St-Laurent","Le Plateau-Mont-Royal",45.515616,-73.575808
"Lajeunesse / Villeray","Villeray - Saint-Michel - Parc-Extension",45.542119,-73.622547
"Parc Plage","Ville-Marie",45.502828,-73.527793
"Marie-Anne / de la Roche","Le Plateau-Mont-Royal",45.527758,-73.576185
"2e avenue / Jean-Rivard","Villeray - Saint-Michel - Parc-Extension",45.562509,-73.61656
"Métro Atwater (Atwater / Ste-Catherine)","Ville-Marie",45.489476,-73.584566
"Place d'Youville / McGill","Ville-Marie",45.4999647,-73.5561544
"de Bleury / de Maisonneuve","Ville-Marie",45.5070965,-73.5684416
"Grand Boulevard / de Terrebonne","Côte-des-Neiges - Notre-Dame-de-Grâce",45.470544,-73.63168
"Métro Mont-Royal (Rivard / du Mont-Royal)","Le Plateau-Mont-Royal",45.524673,-73.58255
"Metcalfe / de Maisonneuve","Ville-Marie",45.501715,-73.57413
"de la Commune / St-Sulpice","Ville-Marie",45.504242,-73.55347
"Gary-Carter / St-Laurent","Villeray - Saint-Michel - Parc-Extension",45.5359,-73.622443
"de Lanaudière / Marie-Anne","Le Plateau-Mont-Royal",45.529326,-73.574806
"Marché Maisonneuve","Mercier - Hochelaga-Maisonneuve",45.553219,-73.539782
"Clark / Prince-Arthur","Le Plateau-Mont-Royal",45.513303,-73.572961
"Parthenais / du Mont-Royal","Le Plateau-Mont-Royal",45.536346,-73.57131
"du Havre / de Rouen","Ville-Marie",45.534563,-73.554787
"Boyer / Bélanger","Rosemont - La Petite-Patrie",45.54006,-73.60897
"University / Prince-Arthur","Le Plateau-Mont-Royal",45.507402,-73.578444
"Quai de la navette fluviale","Ville-Marie",45.513741,-73.538382
"Park Row O / Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",45.460729,-73.634073
"Swail / Decelles","Côte-des-Neiges - Notre-Dame-de-Grâce",45.497055,-73.618652
"Terminus Newman (Airlie / Lafleur)","LaSalle",45.4250597,-73.6495992
"Messier / du Mont-Royal","Le Plateau-Mont-Royal",45.537114,-73.571003
"Métro Lionel-Groulx (St-Jacques / Atwater)","Le Sud-Ouest",45.4836285,-73.5797026
"Villeneuve / St-Laurent","Le Plateau-Mont-Royal",45.521342,-73.589419
"Prince-Arthur / St-Urbain","Le Plateau-Mont-Royal",45.512587,-73.573739
"Parc Howard (de l'Épée / de Liège)","Villeray - Saint-Michel - Parc-Extension",45.5616903,-73.610512
"de l'Hôtel-de-Ville / Roy","Le Plateau-Mont-Royal",45.517401,-73.574605
"Dollard / Bernard","Outremont",45.516783,-73.611423
"La Ronde","Ville-Marie",45.521565,-73.535332
"St-Antoine / St-François-Xavier","Ville-Marie",45.504591,-73.559188
"Bloomfield / Jean-Talon","Villeray - Saint-Michel - Parc-Extension",45.5274603,-73.6241752
"Melville / de Maisonneuve","Westmount",45.4818402,-73.595379
"Édouard-Montpetit / de Stirling","Côte-des-Neiges - Notre-Dame-de-Grâce",45.50723,-73.615085
"Bernard / Jeanne-Mance","Le Plateau-Mont-Royal",45.524287,-73.604973
"Mackay / Ste-Catherine","Ville-Marie",45.495709,-73.576952
"Jeanne-Mance / Laurier","Le Plateau-Mont-Royal",45.5201249,-73.5952138
"Parc Maisonneuve (Viau / Sherbrooke)","Rosemont - La Petite-Patrie",45.5649368,-73.5555911
"Métro Charlevoix (Centre / Charlevoix)","Le Sud-Ouest",45.478228,-73.569651
"Clark / St-Viateur","Le Plateau-Mont-Royal",45.5251603,-73.5992467
"Marquette / Laurier","Le Plateau-Mont-Royal",45.53543,-73.5822
"McTavish / Sherbrooke","Ville-Marie",45.502813,-73.576024
"Métro Place-d'Armes (Viger / St-Urbain)","Ville-Marie",45.50623,-73.55976
"de Maisonneuve / Mansfield (sud)","Ville-Marie",45.502145,-73.573427
"Aylwin / Ontario","Mercier - Hochelaga-Maisonneuve",45.544284,-73.54534
"Parc riverain de Lachine (des Iroquois)","Lachine",45.4305431,-73.6690244
"Place Émilie-Gamelin","Ville-Marie",45.515901,-73.559948
"Métro Papineau (Cartier / Ste-Catherine)","Ville-Marie",45.52353,-73.55199
"de Gaspé / Beaubien","Rosemont - La Petite-Patrie",45.5319579,-73.607001
"St-Dominique / Rachel","Le Plateau-Mont-Royal",45.518593,-73.581566
"St-Dominique / St-Viateur","Le Plateau-Mont-Royal",45.526557,-73.598276
"Queen / Wellington","Ville-Marie",45.497605,-73.55535
"Métro Sauvé (Berri / Sauvé)","Ahuntsic-Cartierville",45.550692,-73.656367
"Brittany / Ainsley","Mont-Royal",45.5258899,-73.6500344
"Jeanne-Mance / René-Lévesque","Ville-Marie",45.506371,-73.564201
"Parc Olympique (Pie-IX / Sherbrooke)","Mercier - Hochelaga-Maisonneuve",45.5548245,-73.5537028
"Alexandre-DeSève / Ontario","Ville-Marie",45.5243588,-73.5605344
"Smith / Peel","Le Sud-Ouest",-1,-1
"Henri-Julien / de Castelnau","Villeray - Saint-Michel - Parc-Extension",45.537891,-73.618215
"St-Dominique / Laurier","Le Plateau-Mont-Royal",45.5236149,-73.5924574
"Fullum / Holt","Rosemont - La Petite-Patrie",45.5439195,-73.5842489
"27e avenue / Rosemont","Rosemont - La Petite-Patrie",45.5636787,-73.5716045
"Plessis / Ontario","Ville-Marie",45.523492,-73.56073
"Parc Jeanne-Mance (du Mont-Royal / du Parc)","Le Plateau-Mont-Royal",45.517,-73.589
"Métro Joliette  (Joliette / Hochelaga)","Mercier - Hochelaga-Maisonneuve",45.546907,-73.551557
"BAnQ (Berri / de Maisonneuve)","Ville-Marie",45.515299,-73.561273
"Calixa-Lavallée / Sherbrooke","Le Plateau-Mont-Royal",45.52479,-73.56545
"Marie-Anne / Papineau","Le Plateau-Mont-Royal",45.5317737,-73.5724462
"Duluth / St-Laurent","Le Plateau-Mont-Royal",45.516876,-73.57946
"Tolhurst / Fleury","Ahuntsic-Cartierville",45.544149,-73.66752
"Garnier / St-Grégoire","Le Plateau-Mont-Royal",45.5358344,-73.5870212
"Drolet / Laurier","Le Plateau-Mont-Royal",45.526252,-73.589758
"Jacques-Casault / Christophe-Colomb","Ahuntsic-Cartierville",45.552123,-73.630103
"St-André / Cherrier","Le Plateau-Mont-Royal",45.520524,-73.567697
"Parc Jeanne Mance (monument sir George-Etienne Cartier)","Le Plateau-Mont-Royal",45.51484,-73.584779
"St-Denis / René-Lévesque","Ville-Marie",45.512871,-73.558466
"Notre-Dame-de-Grâce / Westmount","Westmount",45.4804701,-73.6112161
"Bourget / St-Jacques","Le Sud-Ouest",45.4808458,-73.5838616
"Milton / Durocher","Le Plateau-Mont-Royal",45.508141,-73.57493
"Métro Guy-Concordia (Guy / St-Catherine)","Ville-Marie",45.495045,-73.57783
"Parc du Pélican (2e avenue / St-Joseph)","Rosemont - La Petite-Patrie",45.544513,-73.571564
"Métro Parc  (Hutchison / Ogilvy)","Villeray - Saint-Michel - Parc-Extension",45.5303513,-73.6243924
"Mozart / St-Laurent","Rosemont - La Petite-Patrie",45.53318,-73.61544
"Vallières / St-Laurent","Le Plateau-Mont-Royal",45.518967,-73.583616
"Laurier / de Bordeaux","Le Plateau-Mont-Royal",45.537205,-73.579254
"Émile-Duployé / Sherbrooke","Le Plateau-Mont-Royal",45.527201,-73.564729
"Parc de Bullion (de Bullion / Prince-Arthur)","Le Plateau-Mont-Royal",45.515604,-73.572135
"CHU Ste-Justine (de la Côte Ste-Catherine / Hudson)","Côte-des-Neiges - Notre-Dame-de-Grâce",45.5039817,-73.6228395
"de St-Firmin / Fleury","Ahuntsic-Cartierville",45.570657,-73.651842
"16e avenue / Jean-Talon","Villeray - Saint-Michel - Parc-Extension",45.56244,-73.595333
"CCI Outremont (Dollard / Durcharme)","Outremont",45.5200191,-73.6189073
"Guilbault / Clark","Le Plateau-Mont-Royal",45.514108,-73.57523
"St-Joseph / 8e avenue Lachine","Lachine",45.43155,-73.67112
"Mackay / de Maisonneuve","Ville-Marie",45.49683,-73.57913
"Beaudry / Sherbrooke","Ville-Marie",45.523035,-73.565395
"Berri / Cherrier","Le Plateau-Mont-Royal",45.519088,-73.569509
"Square St-Louis (du Square St-Louis / Laval)","Le Plateau-Mont-Royal",45.516091,-73.570129
"Parc Labelle (LaSalle / Henri-Duhamel)","Verdun",45.472561,-73.5699892
"Jeanne-Mance / St-Viateur","Le Plateau-Mont-Royal",45.523027,-73.60184
"St-Dominique / Napoléon","Le Plateau-Mont-Royal",45.5166644,-73.5772204
"St-Dominique / Bernard","Le Plateau-Mont-Royal",45.527933,-73.601223
"Métro Viau (Pierre-de-Coubertin / Viau)","Mercier - Hochelaga-Maisonneuve",45.561783,-73.546611
"Panet / Ste-Catherine","Ville-Marie",45.5199567,-73.5548166
"Villeneuve / St-Urbain","Le Plateau-Mont-Royal",45.520188,-73.590559
"Everett / Garnier","Villeray - Saint-Michel - Parc-Extension",45.5475815,-73.6122085
"Bishop / Ste-Catherine","Ville-Marie",45.496583,-73.576502
"de Léry / Sherbrooke","Mercier - Hochelaga-Maisonneuve",45.5409997,-73.5582626
"de l'Esplanade / du Mont-Royal","Le Plateau-Mont-Royal",45.518253,-73.588338
"Casgrain / St-Viateur","Le Plateau-Mont-Royal",45.527513,-73.598791
"University / Milton","Ville-Marie",45.506511,-73.576669
"Casino de Montréal","Ville-Marie",45.506373,-73.524577
"Elgar / de l'Île-des-Sœurs","Verdun",45.456823,-73.546804
"de Bordeaux / Marie-Anne","Le Plateau-Mont-Royal",45.533409,-73.570657
"Laurier / de Brébeuf","Le Plateau-Mont-Royal",45.532514,-73.584811
"Boyer / Beaubien","Rosemont - La Petite-Patrie",45.537041,-73.602026
"Calixa-Lavallée / Rachel","Le Plateau-Mont-Royal",45.527795,-73.571939
"Peel / Ottawa","Le Sud-Ouest",45.4941996,-73.5599846
"4e avenue / de Verdun","Verdun",45.456885,-73.572607
"Marché Atwater","Le Sud-Ouest",45.480208,-73.577599
"Ste-Émilie / Sir-Georges-Etienne-Cartier","Le Sud-Ouest",45.472668,-73.58539
"Métro St-Laurent (de Maisonneuve / St-Laurent)","Ville-Marie",45.51066,-73.56497
"de Bordeaux / St-Zotique","Rosemont - La Petite-Patrie",45.546539,-73.598665
"Notre-Dame / Jean-d'Estrées","Ville-Marie",45.4942598,-73.5638181
"St-Dominique / St-Zotique","Rosemont - La Petite-Patrie",45.532265,-73.611063
"Gilford / St-Denis","Le Plateau-Mont-Royal",45.5251147,-73.586006
"St-Patrick / Briand","Le Sud-Ouest",45.463397,-73.596436
"de Maisonneuve / Aylmer (ouest)","Ville-Marie",45.505063,-73.5706812
"Métro Snowdon (de Westbury / Queen-Mary)","Côte-des-Neiges - Notre-Dame-de-Grâce",45.485385,-73.628142
"26e avenue / Beaubien","Rosemont - La Petite-Patrie",45.564944,-73.577639
"du Mont-Royal / Clark","Le Plateau-Mont-Royal",45.51941,-73.58685
"Métro Peel (de Maisonneuve / Stanley)","Ville-Marie",45.50038,-73.57507
"Parc Père-Marquette (Chambord / Rosemont)","Rosemont - La Petite-Patrie",45.537088,-73.593219
"de Lanaudière / Bélanger","Rosemont - La Petite-Patrie",45.543651,-73.60565
"CHSLD St-Michel (8e avenue / Jarry)","Villeray - Saint-Michel - Parc-Extension",45.5616903,-73.610512
"Bassin olympique (Chemin du Chenal le Moyne)","Ville-Marie",45.5169025,-73.5272455
"Place du Commerce","Verdun",45.46714,-73.54259
"Pontiac / Gilford","Le Plateau-Mont-Royal",45.527009,-73.585766
"Grand Boulevard / Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",45.466569,-73.623295
"de Lanaudière / du Mont-Royal","Le Plateau-Mont-Royal",45.5302211,-73.5769965
"St-Dominique / de Bellechasse","Rosemont - La Petite-Patrie",45.5295036,-73.6048646
"Durocher / Sherbrooke","Le Plateau-Mont-Royal",45.5070762,-73.5722852
"Marie-Anne / St-Hubert","Le Plateau-Mont-Royal",45.524683,-73.578897
"Jogues / Allard","Le Sud-Ouest",45.45002,-73.600306
"La Tour de Montréal (Pierre-de-Coubertin / Bennett)","Mercier - Hochelaga-Maisonneuve",45.5597053,-73.5515544
"Bélanger / St-Denis","Rosemont - La Petite-Patrie",45.53696,-73.61199
"Parc Loyola (Somerled / Doherty)","Côte-des-Neiges - Notre-Dame-de-Grâce",45.460023,-73.644442
"Fullum / de Rouen","Ville-Marie",45.5321322,-73.5587601
"Aylmer / Prince-Arthur","Le Plateau-Mont-Royal",45.508567,-73.577698
"Cadillac / Sherbrooke","Mercier - Hochelaga-Maisonneuve",45.576963,-73.546836
"Bordeaux / Sherbrooke","Ville-Marie",45.529971,-73.563053
"Desjardins / Ontario","Mercier - Hochelaga-Maisonneuve",45.551192,-73.540873
"Parc St-Paul (Le Caron / Marc-Sauvalle)","Le Sud-Ouest",45.461685,-73.584039
"1ère avenue / Rosemont","Rosemont - La Petite-Patrie",45.5478,-73.584867
"Parc St-Laurent (Salk / Thomas-Chapais)","Montréal-Nord",45.6062348,-73.6287838
"Clark / Fleury","Ahuntsic-Cartierville",45.547581,-73.665234
"Milton / du Parc","Le Plateau-Mont-Royal",45.509361,-73.573864
"Richardson / de Montmorency","Le Sud-Ouest",45.48498,-73.560333
"de Maisonneuve / Mansfield (nord)","Ville-Marie",45.502311,-73.5733635
"U. Concordia - Campus Loyola (Sherbrooke / West Broadway)","Côte-des-Neiges - Notre-Dame-de-Grâce",45.457509,-73.639485
"Notre-Dame / de la Montagne","Ville-Marie",45.493029,-73.564818
"des Seigneurs / Notre-Dame","Le Sud-Ouest",45.487723,-73.569083
"Louis-Hémon / Rosemont","Rosemont - La Petite-Patrie",45.544599,-73.588223
"Marquette / du Mont-Royal","Le Plateau-Mont-Royal",45.53229,-73.57544
"Viger / Chenneville","Ville-Marie",45.505312,-73.560891
"Newman / Senkus","LaSalle",45.444043,-73.613752
"Métro Radisson (Sherbrooke / des Groseilliers)","Mercier - Hochelaga-Maisonneuve",45.589175,-73.539656
"Square Victoria (Viger / du Square-Victoria)","Ville-Marie",45.50206,-73.56295
"Labadie / du Parc","Le Plateau-Mont-Royal",45.519895,-73.596827
"la Fontaine / Alexandre-de-Sève","Ville-Marie",45.5233037,-73.5579997
"Turgeon / Notre-Dame","Le Sud-Ouest",45.478888,-73.581989
"de la Roche / Bélanger","Rosemont - La Petite-Patrie",45.54167,-73.607604
"Louis-Hébert / St-Zotique","Rosemont - La Petite-Patrie",45.55001,-73.59576
"Parc J.-Arthur-Champagne (de Chambly / du Mont-Royal)","Rosemont - La Petite-Patrie",45.551584,-73.561916
"Marché Jean-Talon (Henri-Julien / Jean-Talon)","Rosemont - La Petite-Patrie",45.536785,-73.614888
"des Bassins / du Séminaire","Ville-Marie",45.490452,-73.560172
"Souligny / Desmarteau","Mercier - Hochelaga-Maisonneuve",45.6046208,-73.5159963
"Bennett / Pierre-de-Coubertin","Mercier - Hochelaga-Maisonneuve",45.5581597,-73.5484001
"de la Commune / King","Ville-Marie",45.497515,-73.552571
"Complexe sportif Claude-Robillard","Ahuntsic-Cartierville",45.553262,-73.638615
"de Bullion / du Mont-Royal","Le Plateau-Mont-Royal",45.521751,-73.585268
"Crescent / de Maisonneuve","Ville-Marie",45.498112,-73.577615
"Métro Fabre (Marquette / Jean-Talon)","Villeray - Saint-Michel - Parc-Extension",45.5474078,-73.6076689
"Hutchison / Prince-Arthur","Le Plateau-Mont-Royal",45.509759,-73.576107
"des Érables / Laurier","Le Plateau-Mont-Royal",45.5384608,-73.5776791
"St-Dominique / Gounod","Villeray - Saint-Michel - Parc-Extension",45.538738,-73.628022
"Young / Wellington","Le Sud-Ouest",45.492825,-73.557978
"de Melrose / Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",45.46982,-73.616961
"Boucher / St-Denis","Le Plateau-Mont-Royal",45.5278492,-73.5918613
"Marquette / des Carrières","Rosemont - La Petite-Patrie",45.538799,-73.5887
"Dollard / Van Horne","Outremont",45.519153,-73.616469
"2e avenue / Wellington","Verdun",45.457893,-73.567528
"Fullum / Marie-Anne","Le Plateau-Mont-Royal",45.5365054,-73.5680392
"Harvard / de Monkland","Côte-des-Neiges - Notre-Dame-de-Grâce",45.474565,-73.624036
"St-Mathieu / Sherbrooke","Ville-Marie",45.495789,-73.582596
"Casgrain / Maguire","Le Plateau-Mont-Royal",45.525933,-73.595253
"Métro Jarry (Lajeunesse / Jarry)","Villeray - Saint-Michel - Parc-Extension",45.5435597,-73.627772
"St-André / Ste-Catherine","Ville-Marie",45.516427,-73.558112
"Métro de l'Église (Ross / de l'Église)","Verdun",45.462726,-73.565959
"Bernard / St-Urbain","Le Plateau-Mont-Royal",45.526267,-73.603191
"Prince-Arthur / du Parc","Le Plateau-Mont-Royal",45.51059,-73.57547
"Waverly / St-Viateur","Le Plateau-Mont-Royal",45.523856,-73.600127
"Bibliothèque de Verdun (Brown / Bannantyne)","Verdun",45.448262,-73.577856
"St-Christophe / René-Lévesque","Ville-Marie",45.5149464,-73.5562329
"Dorion / Ontario","Ville-Marie",45.526991,-73.558212
"de l'Église / Bannantyne","Verdun",45.463254,-73.575879
"Métro Place St-Henri (St-Ferdinand / St-Jacques)","Le Sud-Ouest",45.477249,-73.587238
"Chabot / Beaubien","Rosemont - La Petite-Patrie",45.544376,-73.595645
"Dézéry / Ontario","Mercier - Hochelaga-Maisonneuve",45.54111,-73.54755
"Roy / St-Denis","Le Plateau-Mont-Royal",45.51908,-73.5727
"Métro Beaudry (Montcalm / de Maisonneuve)","Ville-Marie",45.519132,-73.5578897
"Chomedey / de Maisonneuve","Ville-Marie",45.4918,-73.584006
"Aréna Rodrigue-Gilbert (du Tricentenaire / de Montigny)","Rivière-des-Prairies - Pointe-aux-Trembles",45.6514058,-73.5004127
"du Parc-Lafontaine / Rachel","Le Plateau-Mont-Royal",45.5254742,-73.5743251
"St-Cyril / Wiseman","Outremont",45.5208548,-73.6157396
"Victoria Hall","Westmount",45.481291,-73.60033
"d'Outremont / Ogilvy","Villeray - Saint-Michel - Parc-Extension",45.52687,-73.626723
"Beaudry / Ontario","Ville-Marie",45.5214582,-73.5620499
"du President-Kennedy / Union","Ville-Marie",45.505011,-73.572028
"Métro Édouard-Montpetit (du Mont-Royal / Vincent-d'Indy)","Outremont",45.510086,-73.611429
"18e avenue / Rosemont","Rosemont - La Petite-Patrie",45.557896,-73.576529
"de l'Hôtel-de-Ville / Sherbrooke","Ville-Marie",45.514565,-73.568407
"Ste-Catherine / Labelle","Ville-Marie",45.515065,-73.55923
"Notre-Dame / Gauvin","Ville-Marie",45.500105,-73.560199
"Boyer / Everett","Villeray - Saint-Michel - Parc-Extension",45.5432845,-73.6162861
"Parc St-Henri (Laporte / Guay)","Le Sud-Ouest",45.4801338,-73.5859081
"St-Hubert / Laurier","Le Plateau-Mont-Royal",45.52931,-73.588657
"Alexandre-DeSève / Ste-Catherine","Ville-Marie",45.52123,-73.553861
"Métro Rosemont (de St-Vallier / Rosemont)","Rosemont - La Petite-Patrie",45.531783,-73.597793
"16e avenue / St-Joseph","Rosemont - La Petite-Patrie",45.55287,-73.565631
"Parc Painter (Marcotte / Quenneville)","Saint-Laurent",45.5286305,-73.6773124
"Villeneuve / de l'Hôtel-de-Ville","Le Plateau-Mont-Royal",45.523544,-73.587332
"Métro Assomption (Chauveau / de l'Assomption)","Mercier - Hochelaga-Maisonneuve",45.569789,-73.548081
"Logan / d'Iberville","Ville-Marie",45.53057,-73.54913
"Marché Jean-Talon (Casgrain / Shamrock)","Rosemont - La Petite-Patrie",45.5351901,-73.6154822
"Boyer / du Mont-Royal","Le Plateau-Mont-Royal",45.527432,-73.579917
"Métro Jean-Talon (Berri / Jean-Talon)","Villeray - Saint-Michel - Parc-Extension",45.5390004,-73.614251
"Richmond / des Bassins","Le Sud-Ouest",45.4875216,-73.565003
"Métro Place-des-Arts (du Président-Kennedy / Jeanne-Mance)","Ville-Marie",45.5082046,-73.5688144
"Aylmer / Sherbrooke","Le Plateau-Mont-Royal",45.506587,-73.573299
"Jean-Brillant / de la Côte-des-Neiges","Côte-des-Neiges - Notre-Dame-de-Grâce",45.495415,-73.622341
"Métro Laurier (Berri / St-Joseph)","Le Plateau-Mont-Royal",45.527231,-73.586726
"16e avenue / Beaubien","Rosemont - La Petite-Patrie",45.558281,-73.583159
"Sanguinet / Ste-Catherine","Ville-Marie",45.512797,-73.561463
"St-Germain / Hochelaga","Mercier - Hochelaga-Maisonneuve",45.543699,-73.553673
"Métro Bonaventure (de la Gauchetière / de la Cathédrale)","Ville-Marie",45.4983122,-73.567256
"de Bordeaux / Masson","Le Plateau-Mont-Royal",45.538984,-73.582445
"Laval / du Mont-Royal","Le Plateau-Mont-Royal",45.522365,-73.584146
"Métro Beaubien (de Chateaubriand / Beaubien)","Rosemont - La Petite-Patrie",45.53536,-73.603635
"Parc des Rapides (LaSalle / 6e avenue)","LaSalle",45.429471,-73.593099
"Fullum / Gilford","Le Plateau-Mont-Royal",45.539224,-73.573837
"de Brébeuf / du Mont-Royal","Le Plateau-Mont-Royal",45.529408,-73.578154
"Nicolet / Sherbrooke","Mercier - Hochelaga-Maisonneuve",45.549695,-73.554647
"Parc St-Laurent (Dutrisac)","Saint-Laurent",45.5259138,-73.6891115
"Cartier / Masson","Le Plateau-Mont-Royal",45.538021,-73.583524
"Pratt / Bates","Outremont",45.5169478,-73.6263156
"de la Commune / Berri","Ville-Marie",45.51086,-73.54983
"Métro Monk (Allard / Beaulieu)","Le Sud-Ouest",45.450851,-73.594027
"Laval / Duluth","Le Plateau-Mont-Royal",45.519216,-73.57718
"St-Alexandre / Ste-Catherine","Ville-Marie",45.505359,-73.567741
"de Chambly / Rachel","Rosemont - La Petite-Patrie",45.549911,-73.558263
"du Parc-La Fontaine / Duluth","Le Plateau-Mont-Royal",45.524518,-73.571977
"Querbes / Laurier","Outremont",45.51754,-73.597832
"Métro Lasalle (de Rushbrooke / Caisse)","Verdun",45.470696,-73.565422
"du Mont-Royal / Augustin-Frigon","Rosemont - La Petite-Patrie",45.543763,-73.56772
"Clark / Rachel","Le Plateau-Mont-Royal",45.517354,-73.582129
"Aylmer / Ste-Catherine","Ville-Marie",45.5043468,-73.5689485
"de la Côte St-Paul / St-Ambroise","Le Sud-Ouest",45.4676657,-73.5939178
"Parc du Pélican (1ère avenue / Masson)","Rosemont - La Petite-Patrie",45.5451997,-73.5764507
"Métro Sherbrooke (de Rigaud / St-Denis)","Le Plateau-Mont-Royal",45.5179989,-73.5681841
"Gilford / de Lanaudière","Le Plateau-Mont-Royal",45.532008,-73.580444
"Earnscliffe / Queen-Mary","Côte-des-Neiges - Notre-Dame-de-Grâce",45.4818451,-73.6303738
"3e avenue / Holt","Rosemont - La Petite-Patrie",45.5480035,-73.5813899
"Ernest-Gendreau / du Mont-Royal","Rosemont - La Petite-Patrie",45.549714,-73.563848
"William / St-Henri","Ville-Marie",45.498919,-73.557254
"10e avenue / Holt","Rosemont - La Petite-Patrie",45.5519116,-73.5792112
"St-Urbain / Beaubien","Rosemont - La Petite-Patrie",45.52951,-73.61068
"Gloria / Dollard","LaSalle",45.429711,-73.6338834
"de la Gauchetière / Robert-Bourassa","Ville-Marie",45.500606,-73.565448
"Jean Langlois / Fullum","Ville-Marie",45.5265,-73.545753
"Molson / Beaubien","Rosemont - La Petite-Patrie",45.549686,-73.591155
"Gare d'autocars de Montréal (Berri / Ontario)","Ville-Marie",45.516897,-73.563949
"Métro Pie-IX (Pierre-de-Coubertin / de la Salle)","Mercier - Hochelaga-Maisonneuve",45.5552411,-73.5508221
"de Kent / de la Côte-des-Neiges","Côte-des-Neiges - Notre-Dame-de-Grâce",45.501449,-73.633051
"Maguire / Henri-Julien","Le Plateau-Mont-Royal",45.527041,-73.593471
"St-André / Robin","Ville-Marie",45.518128,-73.561851
"Beaubien / 8e avenue","Rosemont - La Petite-Patrie",45.553457,-73.587842
"Parc Baldwin (Fullum / Sherbrooke)","Le Plateau-Mont-Royal",45.5340705,-73.5626507
"Métro Montmorency","Laval",45.558109,-73.719598
"Berri / Rachel","Le Plateau-Mont-Royal",45.522719,-73.577204
"de la Côte St-Antoine / Royal","Côte-des-Neiges - Notre-Dame-de-Grâce",45.468927,-73.61987
"de Mentana / Laurier","Le Plateau-Mont-Royal",45.53045,-73.587638
"Milton / Clark","Le Plateau-Mont-Royal",45.512541,-73.570677
"Rivard / Rachel","Le Plateau-Mont-Royal",45.522278,-73.577591
