"STATIONNAME","STATIONARRONDISSEMENT","STATIONLATITUDE","STATIONLONGITUDE"
"Marmier / St-Denis","Rosemont - La Petite-Patrie",45.530871,-73.598345
"St-Charles / Thomas-Keefer","Le Sud-Ouest",45.477605,-73.573775
"Place Rodolphe-Rousseau (Gohier / Édouard-Laurin)","Saint-Laurent",45.5129939,-73.6824985
"Atwater / Greene","Le Sud-Ouest",45.480495,-73.577827
"Métro Crémazie (Crémazie / Lajeunesse)","Ahuntsic-Cartierville",45.546408,-73.638428
"Joseph-Manseau / René-Lévesque","Ville-Marie",45.491687,-73.576767
"City Councillors / du President-Kennedy","Ville-Marie",45.506251,-73.571391
"Lajeunesse / de Liège","Villeray - Saint-Michel - Parc-Extension",45.5455805,-73.6349
"de Monkland / Girouard","Côte-des-Neiges - Notre-Dame-de-Grâce",45.477107,-73.621438
"Ann / Wellington","Le Sud-Ouest",45.4945271,-73.5567525
"Métro Villa-Maria (de Monkland / Décarie)","Côte-des-Neiges - Notre-Dame-de-Grâce",45.4789684,-73.6195993
"Marquette / Villeray","Villeray - Saint-Michel - Parc-Extension",45.550684,-73.615293
"Georges-Vanier / Notre-Dame","Le Sud-Ouest",45.485048,-73.571963
"Clark / de Liège","Villeray - Saint-Michel - Parc-Extension",45.539984,-73.638135
"du Parc-La Fontaine / Roy","Le Plateau-Mont-Royal",45.522866,-73.568377
"Beaucourt / de la Côte-Ste-Catherine","Côte-des-Neiges - Notre-Dame-de-Grâce",45.491513,-73.633649
"Ste-Famille / Sherbrooke","Le Plateau-Mont-Royal",45.510072,-73.570752
"Roy / St-André","Le Plateau-Mont-Royal",45.521564,-73.570367
"de la Côte St-Antoine / Argyle","Westmount",45.486241,-73.5957277
"St-Mathieu / Ste-Catherine","Ville-Marie",45.49368,-73.579146
"Michelet / Jean-Talon","Saint-Léonard",45.5762911,-73.583529
"Louis-Hébert / Beaubien","Rosemont - La Petite-Patrie",45.548186,-73.59201
"de l'Eglise / St-Germain","Saint-Laurent",45.512559,-73.677011
"St-Catherine / St-Laurent","Ville-Marie",45.5099315,-73.5638067
"Métro Verdun (Willibrord / de Verdun)","Verdun",45.459488,-73.572092
"Fullum / Ontario","Ville-Marie",45.5303174,-73.5548669
"35e avenue / Beaubien","Rosemont - La Petite-Patrie",45.570081,-73.573047
"Augustin-Cantin / Shearer","Le Sud-Ouest",45.484018,-73.563437
"Henri-Julien / de Bellechasse","Rosemont - La Petite-Patrie",45.5295036,-73.6048646
"Marcil / Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",45.471743,-73.613924
"Fortune / Wellington","Le Sud-Ouest",45.477923,-73.559038
"d'Orléans / Masson","Rosemont - La Petite-Patrie",45.557192,-73.569847
"Drummond / de Maisonneuve","Ville-Marie",45.49947,-73.57591
"de Rouen / Lespérance","Ville-Marie",45.5386271,-73.5528392
"des Érables / Rachel","Le Plateau-Mont-Royal",45.533547,-73.566867
"St-Urbain / de la Gauchetière","Ville-Marie",45.507078,-73.561395
"du Rosaire / St-Hubert","Villeray - Saint-Michel - Parc-Extension",45.544819,-73.62151
"41e avenue / Rosemont","Rosemont - La Petite-Patrie",45.57179,-73.564315
"Waverly / Van Horne","Le Plateau-Mont-Royal",45.527363,-73.607723
"10e avenue / Masson","Rosemont - La Petite-Patrie",45.550306,-73.573353
"Métro Jolicoeur (de Sève / Drake)","Le Sud-Ouest",45.4560855,-73.5819371
"de Chateaubriand / Jarry","Villeray - Saint-Michel - Parc-Extension",45.545955,-73.626992
"des Ormeaux / Notre-Dame","Mercier - Hochelaga-Maisonneuve",45.5992655,-73.5122607
"de la Cathédrale / René-Lévesque","Ville-Marie",45.499191,-73.569421
"Duvernay / Charlevoix","Le Sud-Ouest",45.482098,-73.574876
"de la Montagne/ Sherbrooke","Ville-Marie",45.4997438,-73.5789384
"Cartier / St-Joseph","Le Plateau-Mont-Royal",45.535828,-73.57869
"Hutchison/ Van Horne","Le Plateau-Mont-Royal",45.5249771,-73.6106864
"Ste-Catherine / St-Marc","Ville-Marie",45.492897,-73.580294
"Durocher / St-Viateur","Outremont",45.5207958,-73.6032707
"Bloomfield / Ball","Villeray - Saint-Michel - Parc-Extension",45.5299594,-73.632946
"Boyer / St-Zotique","Rosemont - La Petite-Patrie",45.53848,-73.60556
"St-André / Ontario","Ville-Marie",45.51889,-73.56353
"St-Jacques / St-Laurent","Ville-Marie",45.506421,-73.556466
"Valois / Ste-Catherine","Mercier - Hochelaga-Maisonneuve",45.54523,-73.53725
"Centre ÉPIC (St-Zotique / 40e avenue)","Rosemont - La Petite-Patrie",45.574147,-73.574621
"William / Robert-Bourassa","Le Sud-Ouest",45.497165,-73.55933
"Chabot / de Bellechasse","Rosemont - La Petite-Patrie",45.54257,-73.592144
"Mansfield / Ste-Catherine","Ville-Marie",45.5013987,-73.5717863
"St-Jacques / McGill","Ville-Marie",45.501441,-73.560144
"Alexandra / Jean-Talon","Rosemont - La Petite-Patrie",45.532331,-73.620187
"de Castelnau / Lajeunesse","Villeray - Saint-Michel - Parc-Extension",45.5403962,-73.6168179
"Ropery / Augustin-Cantin","Le Sud-Ouest",45.480914,-73.56846
"Hutchison / des Pins","Le Plateau-Mont-Royal",45.51069,-73.57805
"Louis-Hémon / Jean-Talon","Villeray - Saint-Michel - Parc-Extension",45.5517743,-73.6034784
"Ste-Catherine / Dezery","Mercier - Hochelaga-Maisonneuve",45.539385,-73.541
"Bourbonnière / du Mont-Royal","Rosemont - La Petite-Patrie",45.553571,-73.560494
"Sherbrooke / Vignal","Westmount",45.4898298,-73.5896777
"Ste-Famille / des Pins","Le Plateau-Mont-Royal",45.512832,-73.576888
"Du Quesne / Pierre-de-Coubertin","Mercier - Hochelaga-Maisonneuve",45.5750536,-73.5389322
"St-Hubert /de Maisonneuve","Ville-Marie",45.5161321,-73.5604969
"Duluth / de l'Esplanade","Le Plateau-Mont-Royal",45.515092,-73.581142
"Sherbrooke / Frontenac","Ville-Marie",45.5367,-73.56081
"Metcalfe / St-Catherine","Ville-Marie",45.500832,-73.572459
"Bloomfied / St-Viateur","Outremont",45.5191037,-73.6051905
"de la Commune / Place Jacques-Cartier","Ville-Marie",45.50761,-73.551836
"Mairie d'arrondissement LaSalle (Dupras / Jeannette)","LaSalle",45.429167,-73.6628097
"Métro Vendôme (de Marlowe / de Maisonneuve)","Côte-des-Neiges - Notre-Dame-de-Grâce",45.473868,-73.604538
"Parc de la Confédération (Fielding / West Hill)","Côte-des-Neiges - Notre-Dame-de-Grâce",45.471882,-73.6400217
"6e avenue / Bélanger","Rosemont - La Petite-Patrie",45.5545638,-73.5961568
"Maguire / St-Laurent","Le Plateau-Mont-Royal",45.524628,-73.595811
"Gordon / Wellington","Verdun",45.461078,-73.567307
"St-Ambroise / Louis-Cyr","Le Sud-Ouest",45.4751933,-73.5809433
"Gauthier / Papineau","Le Plateau-Mont-Royal",45.529666,-73.567336
"Plessis / Logan","Ville-Marie",45.5217675,-73.5571025
"19e avenue / St-Zotique","Rosemont - La Petite-Patrie",45.561594,-73.585643
"Bibliothèque d'Ahuntsic (Lajeunesse / Fleury)","Ahuntsic-Cartierville",45.5534001,-73.6622545
"de Gaspé / Fairmount","Le Plateau-Mont-Royal",45.525648,-73.592928
"Parc MacDonald (Clanranald / Isabella)","Côte-des-Neiges - Notre-Dame-de-Grâce",45.4826927,-73.6348128
"Christophe-Colomb / St-Joseph","Le Plateau-Mont-Royal",45.5303649,-73.5843927
"du Champ-de-Mars / Gosford","Ville-Marie",45.509655,-73.554009
"Faillon / St-Denis","Villeray - Saint-Michel - Parc-Extension",45.5398641,-73.6203128
"Boyer / Rosemont","Rosemont - La Petite-Patrie",45.534136,-73.595478
"Hamilton / Jolicoeur","Le Sud-Ouest",45.456355,-73.597557
"Drolet / Gounod","Villeray - Saint-Michel - Parc-Extension",45.540951,-73.626375
"Parc Lalancette (de Rouen/ Valois)","Mercier - Hochelaga-Maisonneuve",45.548145,-73.5471261
"Marquette / Rachel","Le Plateau-Mont-Royal",45.529802,-73.57029
"Hôpital général juif (de la Côte Ste-Catherine / Légaré)","Côte-des-Neiges - Notre-Dame-de-Grâce",45.496302,-73.629822
"Grey / Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",45.4763443,-73.6062594
"Métro Laurier (Bibaud / Rivard)","Le Plateau-Mont-Royal",45.5278391,-73.5895747
"5e avenue / Bannantyne","Verdun",45.456365,-73.57614
"Louis-Hébert / de Bellechasse","Rosemont - La Petite-Patrie",45.546661,-73.588684
"Drolet / St-Zotique","Rosemont - La Petite-Patrie",45.534882,-73.609412
"de Soissons / de Darlington","Côte-des-Neiges - Notre-Dame-de-Grâce",45.506899,-73.623526
"St-Jacques / des Seigneurs","Le Sud-Ouest",45.489186,-73.5719
"de l'Esplanade / Fairmount","Le Plateau-Mont-Royal",45.521496,-73.596827
"O'Brien / Poirier","Saint-Laurent",45.52246,-73.691564
"Crescent / René-Lévesque","Ville-Marie",45.4959617,-73.5732535
"de la Roche /  de Bellechasse","Rosemont - La Petite-Patrie",45.537159,-73.597476
"Boyer / Jean-Talon","Rosemont - La Petite-Patrie",45.541586,-73.612481
"Parc Chopin (Dumouchel / Tessier)","Laval",45.5707266,-73.737086
"Victoria / de Maisonneuve","Westmount",45.477429,-73.600169
"Jardin Botanique (Pie-IX / Sherbrooke)","Rosemont - La Petite-Patrie",45.554947,-73.555295
"Molson / William-Tremblay","Rosemont - La Petite-Patrie",45.5415485,-73.5650124
"St-Antoine / de la Montagne","Ville-Marie",45.4953717,-73.5685891
"Ste-Émilie / St-Rémi","Le Sud-Ouest",45.4697664,-73.5892588
"Gauthier / Parthenais","Le Plateau-Mont-Royal",45.532926,-73.56378
"LaSalle / Godin","Verdun",45.446934,-73.572199
"Parc Kent (de Kent / Hudson)","Côte-des-Neiges - Notre-Dame-de-Grâce",45.505721,-73.629459
"Drummond / Ste-Catherine","Ville-Marie",45.498639,-73.574227
"Métro Frontenac (Ontario / du Havre)","Ville-Marie",45.533706,-73.552179
"de Bullion / St-Joseph","Le Plateau-Mont-Royal",45.524037,-73.590143
"Wolfe / de la Gauchetière","Ville-Marie",45.5162224,-73.5529733
"Atateken / du Square Amherst","Ville-Marie",45.5206338,-73.563906
"Quesnel / Vinet","Le Sud-Ouest",45.485889,-73.577514
"Union / René-Lévesque","Ville-Marie",45.50235,-73.566583
"de Mentana / Gilford","Le Plateau-Mont-Royal",45.528724,-73.583859
"Métro Acadie (de l'Acadie / Beaumont)","Villeray - Saint-Michel - Parc-Extension",45.523575,-73.623443
"Egan / Laurendeau","Le Sud-Ouest",45.4528579,-73.5892488
"Union / Ste-Catherine","Ville-Marie",45.5040272,-73.5697022
"Métro Université de Montréal (Édouard-Montpetit / Louis-Collin)","Côte-des-Neiges - Notre-Dame-de-Grâce",45.50367,-73.61848
"St-Zotique / Clark","Rosemont - La Petite-Patrie",45.531401,-73.612674
"de Grosbois / Duchesneau","Mercier - Hochelaga-Maisonneuve",45.6112307,-73.5312416
"Duluth / St-Denis","Le Plateau-Mont-Royal",45.5205975,-73.5759705
"Gerry-Boulet / St-Grégoire","Le Plateau-Mont-Royal",45.533735,-73.589307
"des Érables / Dandurand","Rosemont - La Petite-Patrie",45.5413694,-73.583974
"Métro Lucien-L'Allier  (Lucien l'Allier / Argyle)","Ville-Marie",45.494872,-73.571124
"Jacques-Le Ber / de la Pointe Nord","Verdun",45.472503,-73.539285
"André-Laurendeau / Rachel","Rosemont - La Petite-Patrie",45.5428981,-73.561846
"5e avenue / Rosemont","Rosemont - La Petite-Patrie",45.5499,-73.583084
"Charlevoix / Lionel-Groulx","Le Sud-Ouest",45.483928,-73.577312
"Lapierre / Serge","LaSalle",45.4385441,-73.6202163
"Parc Père-Marquette (de Lanaudière / de Bellechasse)","Rosemont - La Petite-Patrie",45.539324,-73.5958784
"Métro de Castelnau (de Castelnau / St-Laurent)","Villeray - Saint-Michel - Parc-Extension",45.5357088,-73.6196235
"Métro Longueuil - Université de Sherbrooke","Longueuil",45.523319,-73.520127
"Chabot / du Mont-Royal","Le Plateau-Mont-Royal",45.534185,-73.573589
"Wolfe / Robin","Ville-Marie",45.519581,-73.560116
"St-Dominique / du Mont-Royal","Le Plateau-Mont-Royal",45.5205595,-73.5858203
"5e avenue / Masson","Rosemont - La Petite-Patrie",45.5475583,-73.5754719
"Parc Jean-Drapeau (Chemin Macdonald)","Ville-Marie",45.5128006,-73.5311159
"Hôpital Sacré-Coeur (Forbes)","Ahuntsic-Cartierville",45.5319436,-73.7136054
"Jeanne-d'Arc / Ontario","Mercier - Hochelaga-Maisonneuve",45.549598,-73.541874
"Parc Henri-Julien (Legendre / Henri-Julien)","Ahuntsic-Cartierville",45.5460356,-73.6465985
"Cégep André-Laurendeau (Lapierre)","LaSalle",45.4360551,-73.6057752
"Laval / Rachel","Le Plateau-Mont-Royal",45.520179,-73.579424
"Des Érables / Villeray","Villeray - Saint-Michel - Parc-Extension",45.5539483,-73.6115748
"15e avenue / Masson","Rosemont - La Petite-Patrie",45.553898,-73.571387
"Cartier / Bélanger","Rosemont - La Petite-Patrie",45.546797,-73.602664
"Clark / Ontario","Ville-Marie",45.5106246,-73.5669033
"Parc Ludger-Duvernay (St-André / St-Hubert)","Le Plateau-Mont-Royal",45.5314746,-73.5924205
"Natatorium (LaSalle / Rolland)","Verdun",45.444547,-73.575091
"Lincoln / du Fort","Ville-Marie",45.493034,-73.583836
"Atwater / Sherbrooke","Ville-Marie",45.491226,-73.58763
"Plessis / René-Lévesque","Ville-Marie",45.519373,-73.551958
"Place du Canada (Peel / de la Gauchetière)","Ville-Marie",45.4984678,-73.5684335
"Ontario / Viau","Mercier - Hochelaga-Maisonneuve",45.559482,-73.535496
"de Hampton / de Monkland","Côte-des-Neiges - Notre-Dame-de-Grâce",45.471179,-73.627002
"de Gaspé / Dante","Rosemont - La Petite-Patrie",45.534298,-73.612172
"Drolet / Marie-Anne","Le Plateau-Mont-Royal",45.5224026,-73.5811767
"de Lanaudière / Laurier","Le Plateau-Mont-Royal",45.533314,-73.583737
"Guizot / St-Denis","Villeray - Saint-Michel - Parc-Extension",45.543424,-73.632462
"Gilford / de Brébeuf","Le Plateau-Mont-Royal",45.530816,-73.581626
"Métro Préfontaine (Moreau / Hochelaga)","Mercier - Hochelaga-Maisonneuve",45.54178,-73.555714
"Kirkfield / de Chambois","Côte-des-Neiges - Notre-Dame-de-Grâce",45.5129332,-73.6338902
"Gagne / LaSalle","LaSalle",45.422451,-73.601194
"LaSalle / 80e","LaSalle",45.4157687,-73.6379242
"Guizot / St-Laurent","Villeray - Saint-Michel - Parc-Extension",45.539663,-73.634475
"Fabre / Beaubien","Rosemont - La Petite-Patrie",45.54206,-73.597873
"Métro Georges-Vanier (St-Antoine / Canning)","Le Sud-Ouest",45.4891,-73.57656
"St-André / St-Antoine","Ville-Marie",45.514114,-73.552645
"Chabot / Villeray","Villeray - Saint-Michel - Parc-Extension",45.5522894,-73.6130065
"de Maisonneuve / Greene","Westmount",45.486971,-73.589293
"St-Nicolas / Place d'Youville","Ville-Marie",45.501967,-73.555153
"Poupart / Ste-Catherine","Ville-Marie",45.529002,-73.546199
"Hutchison / Beaubien","Rosemont - La Petite-Patrie",45.526058,-73.612969
"Campus MIL (Outremont / Thérèse-Lavoie Roux)","Outremont",45.5231722,-73.6180971
"Marquette / Gilford","Le Plateau-Mont-Royal",45.5338507,-73.5789116
"de Laprairie / Centre","Le Sud-Ouest",45.4813667,-73.5643189
"de Maisonneuve / Aylmer (est)","Ville-Marie",45.505386,-73.570432
"Benny / Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",45.464877,-73.626597
"Papineau / René-Lévesque","Ville-Marie",45.52114,-73.54926
"Parc de Beauséjour (Gouin / Henri-d'Arles)","Ahuntsic-Cartierville",45.526765,-73.730423
"Grand Trunk / d'Hibernia","Le Sud-Ouest",45.47968,-73.56385
"Parc St-Gabriel (Grand Trunk / Ropery)","Le Sud-Ouest",45.47855,-73.56572
"Léa-Roback / Sir-Georges-Etienne-Cartier","Le Sud-Ouest",45.471669,-73.582644
"McKenna / Édouard-Montpetit","Côte-des-Neiges - Notre-Dame-de-Grâce",45.5011651,-73.6205475
"LaSalle / Crawford","Verdun",45.437914,-73.58274
"Parc de Dieppe","Ville-Marie",45.5018635,-73.543961
"d'Orléans / Hochelaga","Mercier - Hochelaga-Maisonneuve",45.550768,-73.549427
"Parthenais / Ste-Catherine","Ville-Marie",45.526006,-73.548864
"Bloomfield / Bernard","Outremont",45.520688,-73.608428
"Métro Honoré-Beaugrand (Sherbrooke / Honoré-Beaugrand)","Mercier - Hochelaga-Maisonneuve",45.596797,-73.535179
"Hélène-Baillargeon / St-Denis","Le Plateau-Mont-Royal",45.52974,-73.59527
"Hillside / Ste-Catherine","Westmount",45.482826,-73.590843
"Tupper / du Fort","Ville-Marie",45.49123,-73.580782
"Aréna Chaumont (Chaumont / des Ormeaux)","Anjou",45.6109266,-73.5467345
"Centre des loisirs (Tassé / Grenet)","Saint-Laurent",45.5147343,-73.691449
"de l'Hôtel-de-Ville / Ste-Catherine","Ville-Marie",45.51166,-73.562136
"Beurling / Godin","Verdun",45.4479158,-73.5838187
"Drummond / Sherbrooke","Ville-Marie",45.5003924,-73.578168
"Place Longueuil","Longueuil",45.52841,-73.517166
"de Bordeaux / Gilford","Le Plateau-Mont-Royal",45.53611,-73.576287
"de Gaspé / de Liège","Villeray - Saint-Michel - Parc-Extension",45.542485,-73.636342
"Monk / Biencourt","Le Sud-Ouest",45.4586632,-73.5960227
"Davaar / de la Côte-Ste-Catherine","Outremont",45.514379,-73.610871
"Sanguinet / de Maisonneuve","Ville-Marie",45.513405,-73.562594
"Chapleau / du Mont-Royal","Le Plateau-Mont-Royal",45.53867,-73.56936
"Hogan / Ontario","Ville-Marie",45.535295,-73.55116
"Rivier / Davidson","Rosemont - La Petite-Patrie",45.5461147,-73.5570931
"Chambord/ Beaubien","Rosemont - La Petite-Patrie",45.5399002,-73.5993621
"8e avenue / Everett","Villeray - Saint-Michel - Parc-Extension",45.5648113,-73.5958041
"Resther / du Mont-Royal","Le Plateau-Mont-Royal",45.525628,-73.581775
"Rachel / de Brébeuf","Le Plateau-Mont-Royal",45.52689,-73.57264
"de Gaspé / Jarry","Villeray - Saint-Michel - Parc-Extension",45.54078,-73.630401
"Durocher / Bernard","Outremont",45.522225,-73.606687
"Louis-Hébert / Bélanger","Villeray - Saint-Michel - Parc-Extension",45.551585,-73.599165
"Larivière / de Lorimier","Ville-Marie",45.529134,-73.559234
"St-Hubert / Duluth","Le Plateau-Mont-Royal",45.522426,-73.574184
"LaSalle / 90e avenue","LaSalle",45.417294,-73.6443
"12e avenue / St-Zotique","Rosemont - La Petite-Patrie",45.556867,-73.589307
"Métro Angrignon (Lamont /  des Trinitaires)","Le Sud-Ouest",45.44691,-73.60363
"Basile-Routhier / Chabanel","Ahuntsic-Cartierville",45.549868,-73.647657
"Ste-Catherine / Union","Ville-Marie",45.5036663,-73.5695761
"Logan / Fullum","Ville-Marie",45.528366,-73.551171
"Hôpital Maisonneuve-Rosemont (Rosemont / Chatelain)","Rosemont - La Petite-Patrie",45.575707,-73.561562
"Henri-Julien / du Carmel","Le Plateau-Mont-Royal",45.527839,-73.594821
"Cypress / Peel","Ville-Marie",45.499325,-73.571768
"Logan / de Champlain","Ville-Marie",45.523194,-73.555843
"Fullum / Terrasse Mercure","Le Plateau-Mont-Royal",45.5354834,-73.5659391
"St-Joseph / 21e avenue Lachine","Lachine",45.4335565,-73.6840434
"Omer-Lavallée / du Midway","Rosemont - La Petite-Patrie",45.545776,-73.562175
"de St-Vallier / St-Zotique","Rosemont - La Petite-Patrie",45.536261,-73.607546
"Lacombe / Victoria","Côte-des-Neiges - Notre-Dame-de-Grâce",45.490628,-73.628878
"Poupart / Ontario","Ville-Marie",45.531939,-73.553439
"Wurtele / de Rouen","Ville-Marie",45.537628,-73.553394
"Drolet / Jarry","Villeray - Saint-Michel - Parc-Extension",45.541955,-73.629942
"Victoria / 18e avenue Lachine","Lachine",45.435996,-73.680111
"Leman / de Chateaubriand","Villeray - Saint-Michel - Parc-Extension",45.547218,-73.631103
"Chambord / de Castelnau","Villeray - Saint-Michel - Parc-Extension",45.5453692,-73.6117625
"Rose-de-Lima / Workman","Le Sud-Ouest",45.4802642,-73.5809936
"Ontario / Sicard","Mercier - Hochelaga-Maisonneuve",45.556262,-73.537441
"1ère  avenue / St-Zotique","Rosemont - La Petite-Patrie",45.551937,-73.593928
"St-Maurice / Robert-Bourassa","Ville-Marie",45.498578,-73.560242
"des Jockeys / Décarie","Côte-des-Neiges - Notre-Dame-de-Grâce",45.4940443,-73.6544949
"Collège Édouard-Montpetit (de Gentilly / de Normandie)","Longueuil",45.537226,-73.495067
"Métro Langelier (Langelier / Sherbrooke)","Mercier - Hochelaga-Maisonneuve",45.582847,-73.542476
"Beatty / de Verdun","Verdun",45.45073,-73.572575
"Chabanel / du Parc","Ahuntsic-Cartierville",45.538308,-73.654884
"Lionel-Groulx / George-Vanier","Le Sud-Ouest",45.486219,-73.573747
"Regina / de Verdun","Verdun",45.467369,-73.570769
"Parc Wilfrid-Bastien (Lacordaire / des Galets)","Saint-Léonard",45.5864002,-73.5952181
"Drolet / Beaubien","Rosemont - La Petite-Patrie",45.533348,-73.605834
"Graham / Wicksteed","Mont-Royal",45.5169365,-73.640483
"Alfred Laliberté / de Poutrincourt","Ahuntsic-Cartierville",45.53308,-73.694597
"Bibliothèque du Boisé (Thimens / Todd)","Saint-Laurent",45.504635,-73.704432
"Métro Henri-Bourassa (Henri-Bourassa / Millen)","Ahuntsic-Cartierville",45.556751,-73.667162
"Ateliers municipaux de St-Laurent (Cavendish / Poirier)","Saint-Laurent",45.5061758,-73.7111861
"Fabrik8 (Waverly / Jean-Talon)","Villeray - Saint-Michel - Parc-Extension",45.5333073,-73.6208224
"de l'Hôtel-de-Ville / Ontario","Ville-Marie",45.5135916,-73.5662556
"Jeanne-Mance / Beaubien","Rosemont - La Petite-Patrie",45.52765,-73.6123
"Glengarry / Graham","Mont-Royal",45.50919,-73.6603206
"Parc nature de l'Île-de-la-Visitation (Gouin / de Bruchési)","Ahuntsic-Cartierville",45.5783318,-73.655954
"Rosemont / Viau","Rosemont - La Petite-Patrie",45.56833,-73.566663
"Cartier / Dandurand","Rosemont - La Petite-Patrie",45.539236,-73.585946
"McLynn / Plamondon","Côte-des-Neiges - Notre-Dame-de-Grâce",45.4891131,-73.6470129
"Parc du Bois-Franc (de l'Équateur / des Andes)","Saint-Laurent",45.5131776,-73.7130609
"7e avenue / St-Joseph Rosemont","Rosemont - La Petite-Patrie",45.547108,-73.569367
"Garnier / St-Joseph","Le Plateau-Mont-Royal",45.532978,-73.581222
"St-Charles / Grant","Longueuil",45.539824,-73.508752
"Notre-Dame / St-Gabriel","Ville-Marie",45.507144,-73.555119
"Villeneuve / du Parc","Le Plateau-Mont-Royal",45.51829,-73.59235
"de l'Église / de Verdun","Verdun",45.463001,-73.571569
"Hickson / Wellington","Verdun",45.464892,-73.566998
"Parc des Hirondelles (Fleury / André-Jobin)","Ahuntsic-Cartierville",45.5760003,-73.6467648
"Hôpital Santa Cabrini (St-Zotique / Jeanne-Jugan)","Rosemont - La Petite-Patrie",45.579325,-73.570504
"Métro St-Michel (Shaughnessy / St-Michel)","Villeray - Saint-Michel - Parc-Extension",45.559199,-73.599658
"de la Roche / Everett","Villeray - Saint-Michel - Parc-Extension",45.544867,-73.614841
"Métro Champ-de-Mars (Viger / Sanguinet)","Ville-Marie",45.510351,-73.556508
"St-Jacques / St-Pierre","Ville-Marie",45.502786,-73.559134
"Letourneux / Hochelaga","Mercier - Hochelaga-Maisonneuve",45.5546589,-73.546603
"Graham / Brookfield","Mont-Royal",45.520222,-73.629856
"Berlioz / de l'Île des Soeurs","Verdun",45.459986,-73.543956
"Argyle / Bannantyne","Verdun",45.453319,-73.576775
"Graham / Kindersley","Mont-Royal",45.51405,-73.6472556
"de Normanville / Villeray","Villeray - Saint-Michel - Parc-Extension",45.54717,-73.618041
"Hamel / Sauvé","Ahuntsic-Cartierville",45.560762,-73.650561
"Letourneux / Ste-Catherine","Mercier - Hochelaga-Maisonneuve",45.5507836,-73.5341
"29e avenue / St-Zotique","Rosemont - La Petite-Patrie",45.567766,-73.579688
"St-Dominique / Jean-Talon","Villeray - Saint-Michel - Parc-Extension",45.535248,-73.617564
